Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,Profit
358,Texas ,False,Texas Tech ml L,2026-01-24,140,-163,175,10.6,moneyline,280.0,W,490
359,Texas ,True,Texas State u148.5 L,2026-01-24,-127,-104,120,15.1,total,262.5,W,315
360,Toledo ,False,Toledo ml L,2026-01-24,200,-265,255,11.7,moneyline,175.0,W,446
361,Towson ,True,Towson o148.5 L,2026-01-24,-106,-139,-105,-8.4,total,332.5,W,316
362,Tulsa ,True,Tulsa o154.5 L,2026-01-24,-7,-107,119,9.2,total,525.0,W,624
363,UC ,False,UC Santa Barbara ml L,2026-01-24,-132,132,-115,6.4,moneyline,560.0,W,486
364,UT ,True,UT Rio Grande Valley u142.5 L,2026-01-24,-120,-110,116,10.2,total,262.5,W,304
365,Utah ,False,Utah +13.5 L,2026-01-24,-120,-104,121,12.0,spread,2495.5,L,-2495
366,Vanderbilt ,True,Vanderbilt u160.5 L,2026-01-24,150,-150,120,-12.0,total,262.5,W,315
367,VCU ,False,VCU ml L,2026-01-24,-137,112,-1,9.8,moneyline,892.5,W,887
368,Villanova ,False,Villanova +4.5 L,2026-01-24,8,-131,130,5.6,spread,612.5,L,-612
369,Virginia ,True,Virginia Tech o142.5 L,2026-01-24,-118,-106,114,9.7,total,262.5,W,299
370,Wake ,True,Wake Forest u157.5 L,2026-01-24,-101,-118,123,7.4,total,227.5,L,-227
371,Washington ,True,Washington Wizards o244.5 L,2026-01-24,138,-162,172,9.4,total,1522.5,L,-1522
372,West ,True,West Virginia u141.5 L,2026-01-24,-185,127,-114,11.8,total,350.0,W,307
373,Western ,False,Western Michigan +1.5 L,2026-01-24,108,-108,125,8.4,spread,770.0,W,959
374,Wichita ,False,Wichita State -15.5 L,2026-01-24,-125,0,112,11.6,spread,542.5,L,-542
375,William ,False,William & Mary ml L,2026-01-24,102,-102,102,0.0,moneyline,472.5,W,481
376,Chicago ,False,Chicago Bulls ml L,2026-01-25,-342,285,-204,11.6,moneyline,5005.0,W,2453
377,Dallas ,False,Dallas Mavericks ml L,2026-01-25,-142,142,-115,9.7,moneyline,2520.0,L,-2520
378,Golden ,False,Golden State Warriors ml q4 L,2026-01-25,318,-318,360,10.0,moneyline,133.0,W,478
379,Golden ,True,Golden State Warriors u119.5 1h L,2026-01-25,-4,-105,120,9.4,total,6359.5,mix,5642
380,Los ,False,Los Angeles Clippers -33.5 L,2026-01-25,100,-100,117,8.5,spread,2082.5,W,2436
381,Miami ,False,Miami Heat -26.5 L,2026-01-25,100,-100,128,14.0,spread,1907.5,W,2441
382,Miami ,True,Miami Heat o240.5 L,2026-01-25,-132,-3,113,13.4,total,4060.0,mix,337
383,Oklahoma ,False,Oklahoma City Thunder q2 ml L,2026-01-25,164,-100,227,22.5,moneyline,1916.6,L,-1916
384,Oregon ,False,Oregon +14.5 L,2026-01-25,-116,116,128,22.4,spread,402.5,L,-402
385,Oregon ,True,Oregon o129.5 L,2026-01-25,-111,-102,115,9.7,total,262.5,L,-262
386,Sacramento ,False,Sacramento Kings +19 L,2026-01-25,-112,-118,150,22.7,spread,3290.0,L,-3290
387,Sacramento ,True,Sacramento Kings u264 L,2026-01-25,-117,-109,133,18.4,total,700.0,W,931
388,Santa ,True,Santa Clara o152.5 L,2026-01-25,-115,-115,121,10.9,total,507.5,W,616
389,Toronto ,False,Toronto Raptors +5.5 L,2026-01-25,125,-131,160,14.2,spread,1522.5,W,2436
390,Toronto ,True,Toronto Raptors o106.5 1h L,2026-01-25,-130,130,-112,7.0,total,912.8,L,-912
391,USC ,True,USC u147.5 L,2026-01-25,101,-150,123,1.1,total,787.5,W,968
392,Utah ,False,Utah Jazz +15.5 L,2026-01-25,-175,155,-126,11.0,spread,6247.5,L,-6247
393,Wisconsin ,False,Wisconsin -0.5 L,2026-01-25,-114,-114,118,9.0,spread,1347.5,L,-1347
394,Brooklyn ,True,Brooklyn Nets u213.5 L,2026-01-26,-6,-112,130,10.9,total,4030.6,L,-4029
395,Miami ,False,Miami Heat -14.5 L,2026-01-26,-119,9,147,31.1,spread,1833.3,L,-1833
396,Miami ,True,Miami Heat u208.5 L,2026-01-26,154,-175,207,18.2,total,949.9,L,-949
397,Ball ,False,Ball State ml L,2026-02-11,447,-447,510,11.5,moneyline,163.1,L,-163
398,Ball ,True,Ball state o163.5,2026-02-11,118,-118,118,0.0,total,385.0,L,-385
399,Brooklyn ,False,Brooklyn Nets -11.5 L,2026-02-11,102,-102,118,10.1,spread,5347.3,L,-5347
400,Cincinnati ,True,Cincinnati u162.5 L,2026-02-11,-120,120,102,10.2,total,171.5,W,174
401,Cleveland ,False,Cleveland Cavaliers -15.5 L,2026-02-11,-200,200,-156,9.6,spread,7542.5,W,4828
402,Eastern ,True,Eastern Michigan o170.5 L,2026-02-11,-108,108,114,11.1,total,438.2,W,499
403,Kent ,False,Kent State ml L,2026-02-11,-131,131,-105,10.7,moneyline,728.0,W,693
404,La ,False,La Salle +11.5 L,2026-02-11,-244,244,-175,11.5,spread,861.7,W,492
405,Memphis ,False,Memphis Grizzlies 1q ml L,2026-02-11,281,-321,335,11.2,moneyline,573.3,L,-572
406,Miami ,False,Miami Heat 4q ml L,2026-02-11,148,-148,184,13.6,moneyline,667.8,W,935
407,Philadelphia ,False,Philadelphia 76ers +21.5 L,2026-02-11,-163,130,-123,6.6,spread,3038.0,L,-3038
408,Portland ,False,Portland ml L,2026-02-11,-131,131,-106,10.2,moneyline,310.1,L,-310
409,Sacramento ,False,Sacramento Kings +27.5 L,2026-02-11,-100,100,123,11.5,spread,1519.7,L,-1519
410,South ,True,South Florida u144.5 L,2026-02-11,-106,106,118,12.2,total,385.0,W,454
411,Texas ,False,Texas Tech -29.5 L,2026-02-11,-110,110,112,11.0,spread,937.3,W,1049
412,Western ,False,Western Michigan ml L,2026-02-11,447,-447,650,37.1,moneyline,126.0,L,-126
413,Alabama ,False,Alabama -2.5 L,2026-02-18,8,-118,130,7.6,spread,3738.7,mix,291
414,Auburn ,False,Auburn ml L,2026-02-18,62,-62,77,3.5,moneyline,5277.3,L,-5277
415,Boise ,False,Boise State +8.5 L,2026-02-18,-127,127,1,12.1,spread,1531.6,L,-1531
416,Butler ,False,Butler -9.5 L,2026-02-18,-123,123,-3,8.8,spread,5107.2,L,-5106
417,BYU ,False,BYU ml L,2026-02-18,606,-606,750,20.4,moneyline,326.2,L,-326
418,Clemson ,True,Clemson u146.5 L,2026-02-18,125,-125,116,-4.0,total,1297.8,L,-1297
419,Creighton ,False,Creighton +14.5 L,2026-02-18,105,-105,133,13.7,spread,1341.2,W,1783
420,Duquesne ,False,Duquesne -12.5 L,2026-02-18,125,-125,116,-4.0,spread,648.2,L,-648
421,James ,False,James Madison ml L,2026-02-18,-127,127,-112,5.9,moneyline,1413.3,W,1261
422,La ,True,La Salle o134.5 L,2026-02-18,-102,102,118,10.1,total,637.7,L,-637
423,Marquette ,False,Marquette +5.5 L,2026-02-18,-120,120,120,20.0,spread,632.1,L,-632
424,Missouri ,False,Missouri State +2.5 L,2026-02-18,4,-4,124,9.7,spread,2480.1,L,-2479
425,ND ,False,ND State -8.5,2026-02-18,102,-102,102,0.0,,731.5,L,-731
426,Oklahoma ,False,Oklahoma State +16.5 L,2026-02-18,101,-101,118,8.5,spread,637.7,W,752
427,Oklahoma ,True,Oklahoma o158.5 L,2026-02-18,-103,103,132,17.7,total,1148.0,L,-1148
428,Ole ,True,Ole Miss u146.5 L,2026-02-18,121,-121,160,17.6,total,932.4,L,-932
429,San ,False,San Francisco +12.5 L,2026-02-18,-139,139,-112,10.1,spread,847.7,L,-847
430,St. ,False,St. John's +1.5 L,2026-02-18,111,-111,130,9.0,spread,1512.7,W,2002
431,Tennessee ,False,Tennessee -17.5 L,2026-02-18,126,-126,129,2.0,spread,2805.6,W,3604
432,Virginia ,False,Virginia -36.5 L,2026-02-18,-101,101,120,10.5,spread,632.1,L,-632
433,Wake ,False,Wake Forest -11.5 L,2026-02-18,125,-160,145,2.7,spread,1570.8,L,-1570
434,Appalachian ,False,Appalachian State -11.5 L,2026-02-19,-147,147,-118,9.6,spread,4508.7,L,-4507
435,Arkansas ,False,Arkansas State ml L,2026-02-19,-115,115,5,9.8,moneyline,2244.2,mix,8
436,Atlanta ,False,Atlanta Hawks ml L,2026-02-19,-110,110,105,7.9,moneyline,4578.7,W,4830
437,Atlanta ,True,Atlanta Hawks o231.5 L,2026-02-19,161,-161,182,8.0,total,3011.4,L,-3010
438,Bryant ,False,Bryant ml L,2026-02-19,-109,109,123,16.3,moneyline,1003.1,L,-1003
439,Cal ,False,Cal State Northridge ml L,2026-02-19,107,-124,138,10.9,moneyline,1414.0,mix,590
440,Cal ,True,Cal State Northridge o132.5 L,2026-02-19,-120,120,-152,-9.6,total,1121.4,W,737
441,Detroit ,False,Detroit Pistons 2q ml L,2026-02-19,142,-142,163,8.7,moneyline,925.4,W,1508
442,Detroit ,True,Detroit Pistons o229.5 L,2026-02-19,209,-209,285,24.5,total,884.1,W,2513
