Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,ExpProfit,Profit
338,Michigan ,False,Michigan State -27.5 L,2026-01-24,-115,-115,120,10.0,spread,262.5,W,26,315
338,Michigan ,False,Michigan State -28.5 L,2026-01-24,-109,-126,128,10.2,spread,245.0,W,25,313
338,Michigan ,False,Michigan State -30.5 L,2026-01-24,-110,-126,130,11.4,spread,227.5,W,26,295
339,Milwaukee ,False,Milwaukee ml L,2026-01-24,138,-182,190,14.4,moneyline,245.0,W,35,465
340,Missouri ,False,Missouri State ml L,2026-01-24,-104,-125,123,6.7,moneyline,420.0,W,28,516
341,Montana ,False,Montana State ml L,2026-01-24,-190,190,-133,14.8,moneyline,647.5,W,96,486
342,North ,False,North Carolina -2.5 L,2026-01-24,-130,-102,110,10.9,spread,280.0,W,31,308
343,Northern ,False,Northern Iowa -9.5 L,2026-01-24,-137,-105,112,12.4,spread,280.0,L,35,-280
343,Northern ,False,Northern Iowa ml L,2026-01-24,-265,269,-192,10.7,moneyline,945.0,W,101,492
344,Oklahoma ,True,Oklahoma o152.5 L,2026-01-24,-114,-101,112,9.1,total,280.0,W,25,313
345,Ole ,False,Ole Miss ml L,2026-01-24,246,-356,480,56.7,moneyline,87.5,L,50,-87
346,Orlando ,False,Orlando Magic 2q ml L,2026-01-24,164,-213,280,35.9,2q moneyline,315.0,L,113,-315
347,Princeton ,False,Princeton -7.5 L,2026-01-24,-135,100,108,11.2,spread,280.0,W,31,302
348,Providence ,False,Providence ml L,2026-01-24,-111,-105,105,3.9,moneyline,455.0,L,18,-455
349,Seattle ,False,Seattle +6.5 L,2026-01-24,-114,-114,116,8.0,spread,420.0,W,34,487
350,South ,False,South Carolina +31.5 L,2026-01-24,-127,-104,117,13.5,spread,262.5,W,35,307
351,South ,True,South Carolina u151.5 L,2026-01-24,-120,-110,123,13.8,total,245.0,L,34,-245
351,South ,True,South Carolina u161.5 L,2026-01-24,-154,116,-108,9.2,total,332.5,W,31,307
352,St. ,False,St. John's -0.5 L,2026-01-24,-137,-101,112,13.4,spread,280.0,W,38,313
353,St. ,True,St. John's u169.5 L,2026-01-24,-112,-123,128,11.5,total,245.0,L,28,-245
354,Stephen ,False,Stephen F. Austin ml L,2026-01-24,-211,211,-133,18.9,moneyline,857.5,W,162,644
355,Syracuse ,False,Syracuse +3.5 L,2026-01-24,-117,101,118,13.4,spread,262.5,L,35,-262
356,TCU ,True,TCU u157.5 L,2026-01-24,-133,-101,123,18.6,total,245.0,L,46,-245
356,TCU ,True,TCU o153.5 L,2026-01-24,-170,122,102,17.8,total,297.5,W,53,303
357,Temple ,True,Temple o133.5 L,2026-01-24,-105,-125,120,5.5,total,262.5,W,14,315
358,Texas ,False,Texas Tech ml L,2026-01-24,140,-163,175,10.6,moneyline,280.0,W,30,490
359,Texas ,True,Texas State u148.5 L,2026-01-24,-127,-104,120,15.1,total,262.5,W,40,315
360,Toledo ,False,Toledo ml L,2026-01-24,200,-265,255,11.7,moneyline,175.0,W,20,446
361,Towson ,True,Towson o148.5 L,2026-01-24,-106,-139,-105,-8.4,total,332.5,W,-28,316
362,Tulsa ,True,Tulsa o154.5 L,2026-01-24,105,-105,118,6.3,total,262.5,W,17,309
362,Tulsa ,True,Tulsa o158.5 L,2026-01-24,-120,-110,120,12.2,total,262.5,W,32,315
363,UC ,False,UC Santa Barbara ml L,2026-01-24,-132,132,-115,6.4,moneyline,560.0,W,36,486
364,UT ,True,UT Rio Grande Valley u142.5 L,2026-01-24,-120,-110,116,10.2,total,262.5,W,27,304
365,Utah ,False,Utah +13.5 L,2026-01-24,-118,-101,117,12.5,spread,402.5,L,50,-402
365,Utah ,False,Utah +14.5 L,2026-01-24,-143,116,-110,6.8,spread,525.0,L,36,-525
365,Utah ,False,Utah +12.5 L,2026-01-24,-123,-107,125,16.1,spread,1288.0,L,207,-1288
365,Utah ,False,Utah +12.5 L,2026-01-24,-102,-122,133,11.6,spread,280.0,L,32,-280
366,Vanderbilt ,True,Vanderbilt u160.5 L,2026-01-24,150,-150,120,-12.0,total,262.5,W,-32,315
367,VCU ,False,VCU ml L,2026-01-24,-139,124,-109,8.5,moneyline,437.5,W,37,401
367,VCU ,False,VCU +1.5 L,2026-01-24,-136,101,107,11.1,spread,455.0,W,51,486
368,Villanova ,False,Villanova +4.5 L,2026-01-24,-105,-143,120,2.4,spread,262.5,L,6,-262
368,Villanova ,False,Villanova ml L,2026-01-24,122,-119,140,8.8,moneyline,350.0,L,31,-350
369,Virginia ,True,Virginia Tech o142.5 L,2026-01-24,-118,-106,114,9.7,total,262.5,W,25,299
370,Wake ,True,Wake Forest u157.5 L,2026-01-24,-101,-118,123,7.4,total,227.5,L,17,-227
371,Washington ,True,Washington Wizards o244.5 L,2026-01-24,175,-200,220,12.9,total,542.5,L,70,-542
371,Washington ,True,Washington Wizards o239.5 L,2026-01-24,102,-125,125,6.0,total,980.0,L,59,-980
372,West ,True,West Virginia u141.5 L,2026-01-24,-185,127,-114,11.8,total,350.0,W,41,307
373,Western ,False,Western Michigan +1.5 L,2026-01-24,105,-105,116,5.4,spread,420.0,W,23,487
373,Western ,False,Western Michigan ml L,2026-01-24,111,-111,135,11.4,moneyline,350.0,W,40,472
374,Wichita ,False,Wichita State -15.5 L,2026-01-24,-133,-102,108,10.4,spread,280.0,L,29,-280
374,Wichita ,False,Wichita State -17.5 L,2026-01-24,-118,102,116,12.8,spread,262.5,L,34,-262
375,William ,False,William & Mary ml L,2026-01-24,102,-102,102,0.0,moneyline,472.5,W,0,481
376,Chicago ,False,Chicago Bulls ml L,2026-01-25,-342,285,-204,11.6,moneyline,5005.0,W,581,2453
377,Dallas ,False,Dallas Mavericks ml L,2026-01-25,-142,142,-115,9.7,moneyline,2520.0,L,244,-2520
378,Golden ,False,Golden State Warriors ml q4 L,2026-01-25,318,-318,360,10.0,moneyline,133.0,W,13,478
379,Golden ,True,Golden State Warriors u119.5 1h L,2026-01-25,-160,130,-114,10.0,total,910.0,W,91,798
379,Golden ,True,Golden State Warriors u118.5 1h L,2026-01-25,-150,150,-127,7.2,total,1015.0,W,73,799
379,Golden ,True,Golden State Warriors u56.5 1q L,2026-01-25,100,-110,123,8.9,total,770.0,W,69,947
379,Golden ,True,Golden State Warriors u57.51q  L,2026-01-25,-125,125,-106,8.0,total,1015.0,W,81,957
379,Golden ,True,Golden State Warriors o216.5 L,2026-01-25,165,-205,205,9.7,total,595.0,L,58,-595
379,Golden ,True,Golden State Warriors u203.5 L,2026-01-25,-109,-119,125,10.2,total,788.9,W,80,986
379,Golden ,True,Golden State Warriors u198.5 L,2026-01-25,120,-120,160,18.2,total,612.5,W,111,980
379,Golden ,True,Golden State Warriors u199.5 L,2026-01-25,100,-100,118,9.0,total,653.1,W,59,770
380,Los ,False,Los Angeles Clippers -33.5 L,2026-01-25,100,-100,117,8.5,spread,2082.5,W,177,2436
381,Miami ,False,Miami Heat -26.5 L,2026-01-25,100,-100,128,14.0,spread,1907.5,W,267,2441
382,Miami ,True,Miami Heat o240.5 L,2026-01-25,-140,100,112,14.2,total,1085.0,W,154,1215
382,Miami ,True,Miami Heat u256.5 L,2026-01-25,-130,-113,115,10.9,total,1050.0,L,114,-1050
382,Miami ,True,Miami Heat u254.5 L,2026-01-25,-135,123,102,13.4,total,1032.5,L,138,-1032
382,Miami ,True,Miami Heat o254.5 L,2026-01-25,107,-107,135,13.5,total,892.5,W,120,1204
383,Oklahoma ,False,Oklahoma City Thunder q2 ml L,2026-01-25,229,-310,300,14.7,moneyline,326.2,L,48,-326
383,Oklahoma ,False,Oklahoma City Thunder ml L,2026-01-25,100,109,155,30.3,moneyline,1590.4,L,482,-1590
384,Oregon ,False,Oregon +14.5 L,2026-01-25,-116,116,128,22.4,spread,402.5,L,90,-402
385,Oregon ,True,Oregon o129.5 L,2026-01-25,-111,-102,115,9.7,total,262.5,L,25,-262
386,Sacramento ,False,Sacramento Kings +19 L,2026-01-25,-120,-110,120,12.2,spread,1330.0,L,162,-1330
