Unique Bet Rule 1,Team,Total?,Unnamed: 3,Bet,Book,Date,Market,Other    ,LineTaken   ,Edge  ,Ignore,TrueL,Decim,Betsize    ,Sport,Unnamed: 16,Opp,Total Stake,Rich Stake,Other Stake,Grade,CloseLine    ,CloseOther    ,Ignore.1,CloseEdge,Trueline,Net,ExpWinPlace,Date.1,RunExpWinPlace,RunNet,Bankroll,Kelly,Time,PIN M,PIN M$,PIN O,PIN O$,BM M,BM O,PM M,PM M$,PM O,PM O$,ST M,ST M$,ST O,ST O$,KAL M,KAL M$,KAL O,KAL O$,FD M,FD O,BOL M,BOL O,BOV M,BOV O,NV M,NV M$,NV O,NV O$,PX M,PX M$,PX O,PX O$,CZR M,CZR O,BM M$,BM O$,DK M,DK O,4C M,4C M$,4C O,4C O$
6,Hornets ,1,2024-11,Hornets team o111.5,BRmb,2024-11-01,-107,-107,112,0.06000000000000011,0.02830188679245288,100.0,2.12,3006.370085714293,NBA,total,,,291.56,291.56,L,,,,,,-291.56,17.493600000000033,2024-11-01,54196.71051707316,11946.256533333346,112237.8165333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lakers ,1,2024-11,Lakers u233.5,FWmb,2024-11-01,-128,108,-112,0.019654996993941524,0.010383771996799296,-116.77192982456137,1.8928571428571428,1292.5460641415712,NBA,total,,,907.08,907.08,L,,,,,,-907.08,17.828654673264477,2024-11-01,53978.98956789048,16524.531533333346,117431.6115333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lakers ,1,2024-11,Lakers u234.5,FWmb,2024-11-01,-141,120,-122,0.02406076756525249,0.013222583977300917,-128.71369294605805,1.819672131147541,1710.2384980128163,NBA,total,,,995.575,995.575,L,,,,,,-995.575,23.95429866877625,2024-11-01,54002.94386655925,15528.956533333345,116524.5315333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lakers ,1,2024-11,Lakers u233.5,PEmb,2024-11-01,-128,108,100,0.07737131757850424,0.03868565878925212,-116.77192982456137,2.0,4469.313792726875,NBA,total,,,1000.0,1000.0,L,,,,,,-1000.0,77.37131757850423,2024-11-01,54080.315184137755,14528.956533333345,115528.9565333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lakers ,1,2024-11,Lakers u233.5,PEmb,2024-11-01,-128,108,100,0.07737131757850424,0.03868565878925212,-116.77192982456137,2.0,4430.628133937624,NBA,total,,,624.58,624.58,L,,,,,,-624.58,48.32457753318218,2024-11-01,54128.63976167094,13904.376533333345,114528.9565333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lakers ,1,2024-11,Lakers u234.5,PEmb,2024-11-01,-141,120,-122,0.02406076756525249,0.013222583977300917,-128.71369294605805,1.819672131147541,1671.7823043444566,NBA,total,,,1375.0,1375.0,L,,,,,,-1375.0,33.083555402222174,2024-11-01,54161.723317073156,12529.376533333345,113904.3765333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pacers ,1,2024-11,Pacers team u117.5,FWmb,2024-11-01,-106,-108,114,0.06516886400577923,0.030452740189616467,100.90711175616835,2.1399999999999997,3364.715797037473,NBA,total,,,286.445,286.445,L,,,,,,-286.445,18.66729525013543,2024-11-01,53961.160913217216,17431.611533333347,117718.05653333341,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pacers ,1,2024-11,Pacers 1h u114.5,FWmb,2024-11-01,-141,122,-115,0.056299960918064294,0.030113932584080905,-129.88381742738588,1.8695652173913042,3623.977673956406,NBA,total,,,375.34,375.34,L,,,,,,-375.34,21.13162733098625,2024-11-01,54217.842144404145,11570.916533333346,111946.2565333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pacers ,1,2024-11,Pacers 1h u114.5,BRmb,2024-11-01,-141,122,-115,0.056299960918064294,0.030113932584080905,-129.88381742738588,1.8695652173913042,3611.826988241089,NBA,total,,,375.34,375.34,L,,,,,,-375.34,21.13162733098625,2024-11-01,54238.97377173513,11195.576533333346,111570.91653333341,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pelicans ,0,2024-11,Pelicans ml,FWmb,2024-11-01,161,-179,156,-0.042817512965866625,-0.01672559100229165,167.45161290322582,2.56,-1653.583826775921,NBA,moneyline,,,877.82,877.82,W,,,,,,1369.4,-37.586069231697046,2024-11-01,53766.16097738605,21861.721533333348,120492.32153333341,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pelicans ,1,2024-11,Pelicans 1h u114.5,FWmb,2024-11-01,-128,103,-106,0.03511822620469455,0.01807054358105642,-113.9649122807018,1.9433962264150944,2268.170776325582,NBA,total,,,343.735,343.735,L,,,,,,-343.735,12.07136348447068,2024-11-01,53778.23234087052,21517.986533333347,121861.7215333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pelicans ,1,2024-11,Pelicans 1h u113.5,FWmb,2024-11-01,-120,104,108,0.09549053356282278,0.04590891036674172,-111.27272727272727,2.08,5372.137672012925,NBA,total,,,302.36,302.36,L,,,,,,-302.36,28.872517728055097,2024-11-01,53807.10485859858,21215.626533333347,121517.9865333334,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
