Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,Profit
292,Detroit ,False,Detroit Pistons +16.5 L,2025-12-28,-131,123,-118,3.2,spread,690.0,W,584
292,Detroit ,False,Detroit Pistons +17.5 L,2025-12-28,-150,116,-106,9.7,spread,640.0,W,603
293,Memphis ,False,Memphis Grizzlies o120.5 1h L,2025-12-28,-181,146,-127,9.6,1h total,700.0,L,-700
294,Philadelphia ,True,Philadelphia 76ers u229.5 L,2025-12-28,-101,-127,143,15.0,total,505.0,L,-505
294,Philadelphia ,True,Philadelphia 76ers u230.5 L,2025-12-28,-138,114,104,13.0,total,707.0,L,-707
295,Sacramento ,False,Sacramento Kings +21.5 L,2025-12-28,-119,101,118,13.8,spread,768.0,L,-768
295,Sacramento ,False,Sacramento Kings +20.5 L,2025-12-28,-107,-116,135,15.3,spread,650.0,L,-650
295,Sacramento ,False,Sacramento Kings +24.5 L,2025-12-28,-142,115,-113,5.1,spread,993.0,W,878
295,Sacramento ,False,Sacramento Kings +24.5 L,2025-12-28,-172,131,-125,6.9,spread,1133.0,W,906
296,Washington ,False,Washington Wizards 1h ml L,2025-12-28,-159,124,-114,8.7,1h moneyline,750.0,W,657
297,Air ,False,Air Force +40.5 L,2026-01-24,-139,105,104,10.9,spread,455.0,L,-455
298,Arizona ,False,Arizona -19.5 L,2026-01-24,-175,130,104,21.2,spread,297.5,W,309
299,Auburn ,True,Auburn o141.5 L,2026-01-24,100,-120,125,7.6,total,560.0,W,700
300,Binghamton ,False,Binghamton ml L,2026-01-24,294,-294,400,26.9,moneyline,122.5,L,-122
301,Boston ,False,Boston College +6.5 L,2026-01-24,102,-110,132,12.7,spread,367.5,W,485
302,Boston ,True,Boston Celtics u236.5 L,2026-01-24,-107,-109,123,11.0,total,980.0,W,1205
302,Boston ,True,Boston Celtics u232.5 L,2026-01-24,108,-136,133,6.0,total,735.0,W,977
303,Bowling ,False,Bowling Green +2.5 L,2026-01-24,-106,106,118,12.2,spread,262.5,W,309
304,Brown ,False,Brown ml L,2026-01-24,305,-450,255,-17.7,moneyline,175.0,L,-175
305,Brown ,True,Brown o131.5 L,2026-01-24,-111,111,-111,0.0,total,350.0,L,-350
305,Brown ,True,Brown u111.5 L,2026-01-24,-124,100,106,8.2,total,280.0,L,-280
306,California ,True,California u148.5 L,2026-01-24,-122,-108,114,10.0,total,262.5,W,299
307,Campbell ,False,Campbell ml L,2026-01-24,100,-125,128,8.0,moneyline,367.5,L,-367
308,Central ,False,Central Michigan +2.5 L,2026-01-24,-125,-105,120,14.5,spread,402.5,L,-402
309,Charlotte ,False,Charlotte Hornets -12.5 L,2026-01-24,-127,108,-104,5.5,spread,2537.5,L,-2537
309,Charlotte ,False,Charlotte Hornets -11.5 L,2026-01-24,-162,121,-109,10.7,spread,2100.0,L,-2100
309,Charlotte ,False,Charlotte Hornets -12.5 L,2026-01-24,-133,108,104,10.7,spread,2370.9,L,-2370
310,Chicago ,False,Chicago Bulls +1.5 L,2026-01-24,-171,137,-134,4.6,spread,2100.0,W,1567
311,Clemson ,True,Clemson u140.5 L,2026-01-24,100,-130,118,2.3,total,262.5,W,309
311,Clemson ,True,Clemson u142.5 L,2026-01-24,-111,-120,114,5.1,total,262.5,W,299
312,Cleveland ,True,Cleveland Cavaliers u218.5 L,2026-01-24,109,-137,143,10.0,total,840.0,L,-840
313,Colgate ,False,Colgate ml L,2026-01-24,198,-240,255,14.4,moneyline,175.0,W,446
314,Columbia ,False,Columbia ml L,2026-01-24,125,-165,180,16.6,moneyline,262.5,W,472
315,Davidson ,False,Davidson ml L,2026-01-24,312,-389,550,52.0,moneyline,87.5,L,-87
315,Davidson ,False,Davidson +8.5 L,2026-01-24,-200,200,110,40.0,spread,437.5,W,481
315,Davidson ,False,Davidson +3.5 L,2026-01-24,-176,129,-108,14.3,spread,507.5,L,-507
316,Dayton ,True,Dayton o150.5 L,2026-01-24,-150,104,107,13.9,total,280.0,W,299
317,Drake ,False,Drake -9.5 L,2026-01-24,-188,137,-103,19.7,spread,315.0,W,305
317,Drake ,False,Drake -10.5 L,2026-01-24,-124,101,108,9.5,spread,280.0,W,302
318,Eastern ,False,Eastern Kentucky ml L,2026-01-24,325,-490,600,54.5,moneyline,70.0,L,-70
319,Elon ,False,Elon ml L,2026-01-24,188,-255,260,17.3,moneyline,175.0,L,-175
320,Florida ,False,Florida ml L,2026-01-24,-260,187,-167,7.8,moneyline,805.0,L,-805
320,Florida ,False,Florida +3.5 L,2026-01-24,-121,-114,135,19.1,spread,245.0,L,-245
320,Florida ,False,Florida +3.5 L,2026-01-24,128,-104,132,7.3,spread,1190.0,L,-1190
